accession,site_general,longitude,latitude,het
AEG_710_50,Ge'alya Kubeiba,34.76632,31.88609,519
AEG_1187_8,Mash'abbe Sade,34.75162,31.03082,459
AEG_4026_41,Akko,35.0845,32.92989,110
AEG_4001_16,Akko,35.0845,32.92989,156
AEG_3995_10,Akko,35.0845,32.92989,62
AEG_5647_2,Akko- Bahaim Park,35.0845,32.92989,307
AEG_5646_1,Akko- Bahaim Park,35.0845,32.92989,70
AEG_3355_20,Ashalim,34.67443,30.95645,42
AEG_3375_40,Ashalim,34.67443,30.95645,41
AEG_3336_1,Ashalim,34.67443,30.95645,29
AEG_3337_2,Ashalim,34.67443,30.95645,31
AEG_3339_4,Ashalim,34.67443,30.95645,40
AEG_6783_3,Ashdod,34.70007,31.8361,106
AEG_6784_4,Ashdod,34.70007,31.8361,180
AEG_6781_1,Ashdod_Shikmim_Park,34.70007,31.8361,544
AEG_9575_0,Be'er Sheva,34.79576,31.25067,38
AEG_9576_0,Be'er Sheva,34.79576,31.25067,39
AEG_302_9,Beit Lid,34.92786,32.33349,299
AEG_303_10,Beit Lid,34.92786,32.33349,47
AEG_719_9,Ben Zakkay,34.7283,31.85664,470
AEG_738_28,Ben Zakkay,34.7283,31.85664,99
AEG_712_2,Ben Zakkay,34.7283,31.85664,56
AEG_711_1,Ben Zakkay,34.7283,31.85664,73
AEG_759_5,Benaya,34.75259,31.84373,68
AEG_761_7,Benaya,34.75259,31.84373,63
AEG_757_3,Benaya,34.75259,31.84373,51
AEG_20_9,Dead sea,35.39042,31.53364,38
AEG_28_17,Dimona,35.02579,31.0694,23
AEG_26_15,Dimona_Oron Rd,35.02579,31.0694,26
AEG_22_11,Dimona_Sedom Junct,35.02579,31.0694,30
AEG_5000_3,Dorot,34.64667,31.50744,531
AEG_8770_25,En Gev,35.64119,32.78367,282
AEG_6327_1,En Gev,35.64119,32.78367,50
AEG_8760_15,En Gev,35.64119,32.78367,57
AEG_8781_3,En HaKore- Rishon LeZiyyon,34.81121,31.96003,28
AEG_8779_1,En HaKore- Rishon LeZiyyon,34.81121,31.96003,554
AEG_664_4,Ge'alya Kubeiba,34.76632,31.88609,59
AEG_668_8,Ge'alya Kubeiba,34.76632,31.88609,90
AEG_682_22,Ge'alya Kubeiba,34.76632,31.88609,487
AEG_1877_5,Gevar'am,34.61328,31.59199,60
AEG_1882_10,Gevar'am,34.61328,31.59199,44
AEG_1880_8,Gevar'am,34.61328,31.59199,114
AEG_16_4,Gilat,34.66168,31.33539,38
AEG_1032_30,Gilat,34.66168,31.33539,37
AEG_1006_4,Gilat,34.66168,31.33539,104
AEG_1015_13,Gilat,34.66168,31.33539,52
AEG_1013_11,Gilat,34.66168,31.33539,44
AEG_1018_16,Gilat,34.66168,31.33539,33
AEG_9528_2,Giv'at Arnon,34.67285,31.6604,60
AEG_9530_4,Giv'at Arnon,34.67285,31.6604,30
AEG_1358_4,Giv'at Brenner,34.80263,31.86713,67
AEG_1356_2,Giv'at Brenner,34.80263,31.86713,146
AEG_9577_1,Goral Hills Beer Sheva,34.79576,31.25067,101
AEG_9583_0,Goral Hills Beer Sheva,34.79576,31.25067,44
AEG_6371_0,HaBesor,34.50523,31.23739,483
AEG_1306_2,Hadera,34.92245,32.44402,415
AEG_1308_4,Hadera,34.92245,32.44402,59
AEG_1314_10,Hadera,34.92245,32.44402,65
AEG_1348_44,Hadera,34.92245,32.44402,69
AEG_1861_2,HaNegev Junct.,34.83688,31.06699,55
AEG_1865_6,HaNegev Junct.,34.83688,31.06699,35
AEG_1862_3,HaNegev Junct.,34.83688,31.06699,125
AEG_9614_2,Horbat Allon,34.963,32.4504,63
AEG_9615_3,Horbat Allon,34.963,32.4504,512
AEG_2993_0,Ilanot,34.89945,32.2883,116
AEG_21_10,Jordan river,35.57373,32.49123,44
AEG_8705_10,Kefar Menahem,34.83516,31.73211,65
AEG_8698_3,Kefar Menahem,34.83516,31.73211,85
AEG_8696_1,Kefar Menahem,34.83516,31.73211,583
AEG_8719_24,Kefar Menahem,34.83516,31.73211,299
AEG_9523_2,Kefar Mordechay,34.75688,31.83148,71
AEG_9522_1,Kefar Mordechay,34.75688,31.83148,69
AEG_1512_4,Kefar Yona,34.93412,32.3176,71
AEG_1509_1,Kefar Yona,34.93412,32.3176,78
AEG_1513_5,Kefar Yona,34.93412,32.3176,102
AEG_1515_7,Kefar Yona,34.93412,32.3176,205
AEG_1510_2,Kefar Yona,34.93412,32.3176,80
AEG_4075_16,Kefar Yona,34.93412,32.3176,74
AEG_3412_10,Liman,35.11188,33.05918,54
AEG_3422_20,Liman,35.11188,33.05918,94
AEG_3407_5,Liman,35.11188,33.05918,327
AEG_3464_2,Mamshit,35.06349,31.0272,28
AEG_3478_1,Mamshit,35.06349,31.0272,80
AEG_3463_1,Mamshit,35.06349,31.0272,56
AEG_3474_12,Mamshit,35.06349,31.0272,35
AEG_3498_21,Mamshit,35.06349,31.0272,289
